county,state,county_fips,sabbr
Kusilvak Census Area,Alaska,2158,AL
Bristol Bay plus Lake and Peninsula,Alaska,2997,AL
Yakutat plus Hoonah-Angoon,Alaska,2998,AL
Oglala Lakota,South Dakota,46102,SD
Saipan,Northern Mariana Islands,69110,MP
Tinian,Northern Mariana Islands,69120,MP
Adjuntas,Puerto Rico,72001,PR
Aguada,Puerto Rico,72003,PR
Aguadilla,Puerto Rico,72005,PR
Aguas Buenas,Puerto Rico,72007,PR
Aibonito,Puerto Rico,72009,PR
Anasco,Puerto Rico,72011,PR
Arecibo,Puerto Rico,72013,PR
Arroyo,Puerto Rico,72015,PR
Barceloneta,Puerto Rico,72017,PR
Barranquitas,Puerto Rico,72019,PR
Bayamon,Puerto Rico,72021,PR
Cabo Rojo,Puerto Rico,72023,PR
Caguas,Puerto Rico,72025,PR
Camuy,Puerto Rico,72027,PR
Canovanas,Puerto Rico,72029,PR
Carolina,Puerto Rico,72031,PR
Catano,Puerto Rico,72033,PR
Cayey,Puerto Rico,72035,PR
Ceiba,Puerto Rico,72037,PR
Ciales,Puerto Rico,72039,PR
Cidra,Puerto Rico,72041,PR
Coamo,Puerto Rico,72043,PR
Comerio,Puerto Rico,72045,PR
Corozal,Puerto Rico,72047,PR
Culebra,Puerto Rico,72049,PR
Dorado,Puerto Rico,72051,PR
Fajardo,Puerto Rico,72053,PR
Florida,Puerto Rico,72054,PR
Guanica,Puerto Rico,72055,PR
Guayama,Puerto Rico,72057,PR
Guayanilla,Puerto Rico,72059,PR
Guaynabo,Puerto Rico,72061,PR
Gurabo,Puerto Rico,72063,PR
Hatillo,Puerto Rico,72065,PR
Hormigueros,Puerto Rico,72067,PR
Humacao,Puerto Rico,72069,PR
Isabela,Puerto Rico,72071,PR
Jayuya,Puerto Rico,72073,PR
Juana Diaz,Puerto Rico,72075,PR
Juncos,Puerto Rico,72077,PR
Lajas,Puerto Rico,72079,PR
Lares,Puerto Rico,72081,PR
Las Marias,Puerto Rico,72083,PR
Las Piedras,Puerto Rico,72085,PR
Loiza,Puerto Rico,72087,PR
Luquillo,Puerto Rico,72089,PR
Manati,Puerto Rico,72091,PR
Maricao,Puerto Rico,72093,PR
Maunabo,Puerto Rico,72095,PR
Mayaguez,Puerto Rico,72097,PR
Moca,Puerto Rico,72099,PR
Morovis,Puerto Rico,72101,PR
Naguabo,Puerto Rico,72103,PR
Naranjito,Puerto Rico,72105,PR
Orocovis,Puerto Rico,72107,PR
Patillas,Puerto Rico,72109,PR
Penuelas,Puerto Rico,72111,PR
Ponce,Puerto Rico,72113,PR
Quebradillas,Puerto Rico,72115,PR
Rincon,Puerto Rico,72117,PR
Rio Grande,Puerto Rico,72119,PR
Sabana Grande,Puerto Rico,72121,PR
Salinas,Puerto Rico,72123,PR
San German,Puerto Rico,72125,PR
San Juan,Puerto Rico,72127,PR
San Lorenzo,Puerto Rico,72129,PR
San Sebastian,Puerto Rico,72131,PR
Santa Isabel,Puerto Rico,72133,PR
Toa Alta,Puerto Rico,72135,PR
Toa Baja,Puerto Rico,72137,PR
Trujillo Alto,Puerto Rico,72139,PR
Utuado,Puerto Rico,72141,PR
Vega Alta,Puerto Rico,72143,PR
Vega Baja,Puerto Rico,72145,PR
Vieques,Puerto Rico,72147,PR
Villalba,Puerto Rico,72149,PR
Yabucoa,Puerto Rico,72151,PR
Yauco,Puerto Rico,72153,PR
St. Croix,Virgin Islands,78010,VI
St. John,Virgin Islands,78020,VI
St. Thomas,Virgin Islands,78030,VI
,,,
,,,
,,,
,,,
Chugach Census Area,Alaska,2063,AL
Copper River Census Area,Alaska,2066,AL
,,,
,,,
,,,
,,,
50,,,
